t_sec,seq,imu_hz,quat_w,quat_x,quat_y,quat_z,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,proj_g_x,proj_g_y,proj_g_z
3.897734074,759,200.035606338,0.999881983,-0.014103000,-0.005787000,-0.001516000,-0.008025617,-0.005399246,-0.003437199,0.107855998,-0.280303985,9.805654526,-0.011615394,0.028185125,-0.999535232
3.902790450,760,200.035606338,0.999881983,-0.014107000,-0.005794000,-0.001520000,0.005104757,-0.000356815,0.000795800,0.099055000,-0.274360001,9.805232048,-0.011629517,0.028193057,-0.999534844
3.907853801,761,200.035606338,0.999881983,-0.014092000,-0.005792000,-0.001519000,0.003696101,0.002986869,-0.000421637,0.110518999,-0.277321994,9.803488731,-0.011625444,0.028163078,-0.999535737
3.912399704,762,200.035606338,0.999881983,-0.014086000,-0.005787000,-0.001518000,0.001303342,-0.001867869,0.000602331,0.123323001,-0.280474007,9.809445381,-0.011615399,0.028151105,-0.999536190
3.917454831,763,200.035606338,0.999882996,-0.014080000,-0.005796000,-0.001515000,0.002946203,-0.002154312,0.000973649,0.118883997,-0.282655001,9.799485207,-0.011633306,0.028139144,-0.999536320
3.922580455,764,200.035606338,0.999882996,-0.014074000,-0.005797000,-0.001517000,-0.000597199,0.000804195,-0.001090831,0.110561997,-0.283528000,9.801186562,-0.011635344,0.028127118,-0.999536635
3.928247817,765,200.035606338,0.999881983,-0.014079000,-0.005799000,-0.001518000,-0.002283083,-0.001834062,-0.000317283,0.111038998,-0.284148008,9.807754517,-0.011639375,0.028137071,-0.999536307
3.932469042,766,200.035606338,0.999882996,-0.014074000,-0.005802000,-0.001519000,0.003737937,-0.000470890,-0.000187955,0.116268001,-0.283095986,9.807353973,-0.011645399,0.028127079,-0.999536519
3.937725613,767,200.035606338,0.999882996,-0.014064000,-0.005806000,-0.001518000,0.002744932,-0.003098553,-0.001373644,0.112917997,-0.282593012,9.805455208,-0.011653340,0.028107082,-0.999536989
3.942865541,768,200.035606338,0.999882996,-0.014058000,-0.005811000,-0.001524000,-0.000446839,0.000657483,-0.001639056,0.115819000,-0.279899001,9.801547050,-0.011663489,0.028094999,-0.999537210
3.948674250,769,200.035606338,0.999882996,-0.014049000,-0.005808000,-0.001522000,0.007353090,0.000252671,0.002420597,0.115556002,-0.280707985,9.802987099,-0.011657406,0.028077033,-0.999537785
3.953092662,770,200.035606338,0.999882996,-0.014029000,-0.005810000,-0.001520000,0.006744004,-0.000459929,-0.000630605,0.104149997,-0.276183009,9.801685333,-0.011661289,0.028037055,-0.999538862
3.957603908,771,200.035606338,0.999882996,-0.014021000,-0.005816000,-0.001521000,-0.000794893,-0.002743535,0.000439439,0.108553000,-0.275182009,9.802858353,-0.011673291,0.028021026,-0.999539171
